batiment,annee,kwh_electrique,kwh_gaz,kwh_cad,kwh_mazout,surface_nette,surface_ref_energetique
S1-HOSPITAL,2020,19330532,3207,13146000,0,123797,105169
S1-HOSPITAL,2021,20163012,5151,14871000,0,123797,105169
S1-HOSPITAL,2022,20054657,4487,12493000,0,123797,105169
S1-HOSPITAL,2023,20146540,4019,13597000,0,123797,105169
S2-R&D,2020,10760995,8739,7005000,0,60742,56727
S2-R&D,2021,10961467,7807,7490924,0,60742,56727
S2-R&D,2022,11222214,6321,4511411,0,60742,56727
S2-R&D,2023,10727698,7012,4091229,0,60742,56727
S3-ADMIN-HQ,2020,3626170,1043316,,14508,20403,15230
S3-ADMIN-HQ,2021,3771054,552577,,17610,20403,15230
S3-ADMIN-HQ,2022,3641017,403080,,12850,20403,15230
S3-ADMIN-HQ,2023,3521803,391907,,16813,20403,15230
S4-EDUCATION,2020,2917790,2096689,,10483,67593,65551
S4-EDUCATION,2021,2865395,2699051,,13495,67593,65551
S4-EDUCATION,2022,2953496,2281771,,11409,67593,65551
S4-EDUCATION,2023,2923384,2252375,,10875,67593,65551
S5-R&D,2020,2766828,108,cf. UniSciences,0,7238,6519
S5-R&D,2021,2932836,258,cf. UniSciences,0,7238,6519
S5-R&D,2022,2862748,394,cf. UniSciences,0,7238,6519
S5-R&D,2023,2739051,374,cf. UniSciences,0,7238,6519
S6-R&D,2020,1482660,,,495392,7179,6955
S6-R&D,2021,1669256,,,675118,7179,6955
S6-R&D,2022,1621287,,,602376,7179,6955
S6-R&D,2023,1680184,,,595992,7179,6955
S7-EDUCATION,2020,288166,361437,,0,5656,5599
S7-EDUCATION,2021,568262,325916,,0,5656,5599
S7-EDUCATION,2022,942984,339508,,0,5656,5599
S7-EDUCATION,2023,1105353,229233,,0,5656,5599
S8-EDUCATION,2020,561337,312128,,0,7362,7362
S8-EDUCATION,2021,536247,372805,,0,7362,7362
S8-EDUCATION,2022,537007,288411,,0,7362,7362
S8-EDUCATION,2023,451371,271690,,0,7362,7362
S9-EDUCATION,2020,382164,391051,,0,18192,14956
S9-EDUCATION,2021,457693,1420627,,0,18192,14956
S9-EDUCATION,2022,406938,967849,,0,18192,14956
S9-EDUCATION,2023,402097,198392,,0,18192,14956
S10-EDUCATION,2020,400076,702170,,3511,10227,10636
S10-EDUCATION,2021,397235,721458,,3607,10227,10636
S10-EDUCATION,2022,412533,538535,,2693,10227,10636
S10-EDUCATION,2023,382530,560389,,27â€¯220,10227,10636